chiave	testo_it	nota_contesto	en	fr	de	es	pt	ru	sq	ro	hi	pa	bn	sr	hr	tr	fa	ps	tl	pl	uk	zh	ar	ur
not_uploaded	Non ancora caricato	Stato documento.	Not yet uploaded	Pas encore téléchargé	Noch nicht hochgeladen	Aún no se ha subido	Ainda não foi carregado	Ещё не загружено	Nuk është ngarkuar ende	Nu a fost încă încărcat	अभी तक अपलोड नहीं हुआ है	ਹਾਲੇ ਅੱਪਲੋਡ ਨਹੀਂ ਕੀਤਾ ਗਿਆ	এখনো আপলোড করা হয়নি	Још није отпремљено	Još nije preneseno	Henüz yüklenmedi	هنوز آپلود نشده	لا تر اوسه نه دی پورته شوی	Hindi pa na-upload	Jeszcze nie przesłano	Ще не завантажено	尚未上传。	لم يتم تحميلها بعد	ابھی تک اپ لوڈ نہیں ہوا۔
paper_delivery	Consegna cartacea in segreteria didattica	Stato documento quando la famiglia porta copia cartacea.	Paper delivery to the teaching office	Livraison de papier au bureau des enseignants	Papierzustellung im Lehrerbüro	Entrega de documentos a la oficina de enseñanza	Entrega de documentos ao gabinete do professor	Доставка документов в учебный кабинет	Dorëzimi i dokumenteve në zyrën e mësimdhënies	Livrarea lucrărilor la secretariatul didactic	शिक्षण कार्यालय में कागज़ों की डिलीवरी	ਅਧਿਆਪਨ ਦਫ਼ਤਰ ਨੂੰ ਕਾਗਜ਼ ਪਹੁੰਚਾਉਣਾ	শিক্ষক দপ্তরে কাগজপত্র জমা দেওয়া	Достава папира у наставничку канцеларију	Dostava papira u nastavničku kabinet	Evrakların öğretim ofisine teslimi	تحویل مقاله به دفتر آموزش	د تدریس دفتر ته د کاغذ رسول	Paghahatid ng papel sa opisina ng pagtuturo	Dostarczenie prac do sekretariatu dydaktycznego	Доставка паперів до кабінету вчителя	论文送至教学办公室	تسليم الأوراق إلى مكتب التدريس	ٹیچنگ آفس کو کاغذ کی ترسیل
paper_badge	Cartaceo	Badge breve.	Paper	Papier	Papier	Papel	Papel	Бумага	Letër	Hârtie	कागज़	ਕਾਗਜ਼	কাগজ	Папир	Papir	Kağıt	کاغذ	کاغذ	Papel	Papier	Папір	纸	ورق	کاغذ
uploaded_badge	Caricato	Badge breve.	Loaded	Chargé	Geladen	Cargado	Carregado	Загружено	I ngarkuar	Încărcat	लोड किया गया	ਲੋਡ ਕੀਤਾ ਗਿਆ	লোড করা হয়েছে	Учитано	Učitano	Yüklendi	بارگذاری شده	بار شوی	Na-load	Załadowany	Завантажено	已加载	تم التحميل	بھری ہوئی
missing_badge	Mancante	Badge breve.	Missing	Manquant	Fehlen	Desaparecido	Ausente	Отсутствующий	Mungon	Lipsește	गुम	ਗੁੰਮ ਹੈ	নিখোঁজ	Недостаје	Nedostaje	Eksik	مفقود	ورک دی	Nawawala	Zaginiony	Відсутній	丢失的	مفتقد	لاپتہ
view_pdf	Visualizza PDF caricato	Link documento.	View uploaded PDF	Voir le PDF téléchargé	Hochgeladene PDF-Datei ansehen	Ver el PDF subido	Visualizar PDF carregado	Просмотреть загруженный PDF-файл	Shiko PDF-në e ngarkuar	Vizualizați PDF-ul încărcat	अपलोड की गई पीडीएफ देखें	ਅੱਪਲੋਡ ਕੀਤੀ PDF ਵੇਖੋ	আপলোড করা পিডিএফ দেখুন	Погледајте отпремљени PDF	Prikaži preneseni PDF	Yüklenen PDF dosyasını görüntüle	مشاهده فایل PDF آپلود شده	پورته شوی PDF وګورئ	Tingnan ang na-upload na PDF	Wyświetl przesłany plik PDF	Переглянути завантажений PDF-файл	查看已上传的PDF文件	عرض ملف PDF المرفوع	اپ لوڈ کردہ پی ڈی ایف دیکھیں
choose_one	Scegli una sola possibilità:	Istruzione scelta documenti.	Choose only one option:	Choisissez une seule option :	Wählen Sie nur eine Option aus:	Elija solo una opción:	Escolha apenas uma opção:	Выберите только один вариант:	Zgjidhni vetëm një mundësi:	Alegeți o singură opțiune:	केवल एक विकल्प चुनें:	ਸਿਰਫ਼ ਇੱਕ ਵਿਕਲਪ ਚੁਣੋ:	শুধুমাত্র একটি বিকল্প বেছে নিন:	Изаберите само једну опцију:	Odaberite samo jednu opciju:	Lütfen yalnızca bir seçenek seçin:	فقط یک گزینه را انتخاب کنید:	یوازې یو انتخاب غوره کړئ:	Pumili lamang ng isang opsyon:	Wybierz tylko jedną opcję:	Виберіть лише один варіант:	请仅选择一项：	اختر خيارًا واحدًا فقط:	صرف ایک آپشن منتخب کریں:
choose_123	1, 2 oppure 3.	Seconda riga istruzione scelta documenti.	1, 2 or 3.	1, 2 ou 3.	1, 2 oder 3.	1, 2 o 3.	1, 2 ou 3.	1, 2 или 3.	1, 2 ose 3.	1, 2 sau 3.	1, 2 या 3.	1, 2 ਜਾਂ 3।	১, ২ অথবা ৩।	1, 2 или 3.	1, 2 ili 3.	1, 2 veya 3.	۱، ۲ یا ۳.	۱، ۲ یا ۳.	1, 2 o 3.	1, 2 lub 3.	1, 2 або 3.	1、2 或 3。	1 أو 2 أو 3.	1، 2 یا 3۔
choice_recorded	Scelta già registrata	Titolo box quando esiste già una scelta.	Choice already registered	Choix déjà enregistré	Choice ist bereits registriert	Opción ya registrada	Opção já registrada	Выбор уже зарегистрирован	Zgjedhja është regjistruar tashmë	Alegerea este deja înregistrată	विकल्प पहले से ही पंजीकृत है	ਚੋਣ ਪਹਿਲਾਂ ਹੀ ਰਜਿਸਟਰ ਕੀਤੀ ਹੋਈ ਹੈ	পছন্দটি ইতিমধ্যেই নিবন্ধিত হয়েছে	Избор је већ регистрован	Izbor je već registriran	Choice zaten kayıtlı.	انتخاب قبلاً ثبت شده است	انتخاب لا دمخه ثبت شوی	Nakarehistro na ang pagpipilian	Wybór już zarejestrowany	Вибір вже зареєстровано	已注册的选择	تم تسجيل الاختيار بالفعل	انتخاب پہلے سے رجسٹرڈ ہے۔
cancel_paper	Annulla scelta cartacea	Pulsante.	Cancel paper choice	Annuler le choix du papier	Papierauswahl stornieren	Cancelar la elección de papel	Cancelar opção de papel	Отменить выбор бумаги	Anulo zgjedhjen e letrës	Anulați alegerea hârtiei	पेपर विकल्प रद्द करें	ਪੇਪਰ ਦੀ ਚੋਣ ਰੱਦ ਕਰੋ	কাগজের পছন্দ বাতিল করুন	Откажи избор папира	Otkaži odabir papira	Kağıt seçimini iptal et	لغو انتخاب کاغذ	د کاغذ انتخاب لغوه کړئ	Kanselahin ang napiling papel	Anuluj wybór papieru	Скасувати вибір паперу	取消纸张选择	إلغاء اختيار الورق	کاغذ کا انتخاب منسوخ کریں۔
delete_pdf	Cancella PDF caricato	Pulsante.	Delete uploaded PDF	Supprimer le PDF téléchargé	Hochgeladene PDF-Datei löschen	Eliminar el PDF subido	Excluir PDF carregado	Удалить загруженный PDF-файл	Fshi PDF-në e ngarkuar	Ștergeți PDF-ul încărcat	अपलोड की गई पीडीएफ फाइल को हटा दें	ਅੱਪਲੋਡ ਕੀਤੀ PDF ਮਿਟਾਓ	আপলোড করা পিডিএফ মুছে ফেলুন	Обриши отпремљени PDF	Izbriši preneseni PDF	Yüklenen PDF dosyasını sil	حذف PDF آپلود شده	پورته شوی PDF ړنګ کړئ	Burahin ang na-upload na PDF	Usuń przesłany plik PDF	Видалити завантажений PDF-файл	删除已上传的PDF文件	حذف ملف PDF الذي تم تحميله	اپ لوڈ کردہ پی ڈی ایف کو حذف کریں۔
change_choice_hint	Se devi cambiare scelta, annulla prima quella registrata e poi scegli 1, 2 oppure 3.	Aiuto cambio scelta.	If you need to change your choice, first cancel the saved one and then choose 1, 2 or 3.	Si vous devez modifier votre choix, annulez d'abord celui enregistré, puis choisissez 1, 2 ou 3.	Falls Sie Ihre Auswahl ändern müssen, stornieren Sie zuerst die gespeicherte Auswahl und wählen Sie dann 1, 2 oder 3.	Si necesitas cambiar tu elección, primero cancela la guardada y luego elige 1, 2 o 3.	Se precisar alterar sua escolha, primeiro cancele a opção salva e depois escolha 1, 2 ou 3.	Если вам нужно изменить свой выбор, сначала отмените сохраненный, а затем выберите 1, 2 или 3.	Nëse duhet të ndryshoni zgjedhjen tuaj, së pari anuloni atë të ruajtur dhe më pas zgjidhni 1, 2 ose 3.	Dacă trebuie să vă schimbați alegerea, anulați mai întâi opțiunea salvată și apoi alegeți 1, 2 sau 3.	यदि आपको अपना विकल्प बदलना है, तो पहले सहेजे गए विकल्प को रद्द करें और फिर 1, 2 या 3 चुनें।	ਜੇਕਰ ਤੁਹਾਨੂੰ ਆਪਣੀ ਪਸੰਦ ਬਦਲਣ ਦੀ ਲੋੜ ਹੈ, ਤਾਂ ਪਹਿਲਾਂ ਸੇਵ ਕੀਤੀ ਗਈ ਚੋਣ ਨੂੰ ਰੱਦ ਕਰੋ ਅਤੇ ਫਿਰ 1, 2 ਜਾਂ 3 ਚੁਣੋ।	আপনার পছন্দ পরিবর্তন করতে চাইলে, প্রথমে সংরক্ষিত পছন্দটি বাতিল করুন এবং তারপর ১, ২ বা ৩ বেছে নিন।	Ако треба да промените свој избор, прво откажите сачувани избор, а затим изаберите 1, 2 или 3.	Ako trebate promijeniti svoj odabir, prvo poništite spremljeni, a zatim odaberite 1, 2 ili 3.	Seçiminizi değiştirmeniz gerekiyorsa, önce kaydedilmiş olanı iptal edin ve ardından 1, 2 veya 3'ü seçin.	اگر نیاز به تغییر انتخاب خود دارید، ابتدا مورد ذخیره شده را لغو کنید و سپس ۱، ۲ یا ۳ را انتخاب کنید.	که تاسو اړتیا لرئ چې خپله انتخاب بدل کړئ، لومړی خوندي شوی لغوه کړئ او بیا ۱، ۲ یا ۳ غوره کړئ.	Kung kailangan mong baguhin ang iyong pinili, kanselahin muna ang naka-save at pagkatapos ay piliin ang 1, 2 o 3.	Jeśli chcesz zmienić swój wybór, najpierw anuluj zapisany wybór, a następnie wybierz 1, 2 lub 3.	Якщо вам потрібно змінити свій вибір, спочатку скасуйте збережений варіант, а потім виберіть 1, 2 або 3.	如果您需要更改选择，请先取消已保存的选择，然后选择 1、2 或 3。	إذا كنت بحاجة إلى تغيير اختيارك، فقم أولاً بإلغاء الاختيار المحفوظ ثم اختر 1 أو 2 أو 3.	اگر آپ کو اپنی پسند کو تبدیل کرنے کی ضرورت ہے، تو پہلے محفوظ کردہ کو منسوخ کریں اور پھر 1، 2 یا 3 کا انتخاب کریں۔
already_uploaded	PDF già caricato	Titolo box.	PDF already uploaded	PDF déjà téléchargé	PDF bereits hochgeladen	El PDF ya se ha subido.	PDF já carregado	PDF-файл уже загружен.	PDF-ja është ngarkuar tashmë	PDF-ul a fost deja încărcat	पीडीएफ पहले ही अपलोड हो चुकी है	PDF ਪਹਿਲਾਂ ਹੀ ਅੱਪਲੋਡ ਕੀਤੀ ਜਾ ਚੁੱਕੀ ਹੈ।	পিডিএফ ইতিমধ্যে আপলোড করা হয়েছে।	ПДФ је већ отпремљен	PDF je već prenesen	PDF zaten yüklendi.	پی دی اف قبلاً آپلود شده است	PDF لا دمخه اپلوډ شوی دی	Na-upload na ang PDF	Plik PDF został już przesłany	PDF-файл уже завантажено	PDF文件已上传。	تم تحميل ملف PDF بالفعل	پی ڈی ایف پہلے ہی اپ لوڈ ہو چکی ہے۔
append_pdf	Aggiungi i nuovi file al PDF già caricato.	Opzione radio.	Add new files to the already uploaded PDF.	Ajouter de nouveaux fichiers au PDF déjà téléchargé.	Fügen Sie der bereits hochgeladenen PDF-Datei neue Dateien hinzu.	Agregue nuevos archivos al PDF ya subido.	Adicione novos arquivos ao PDF já carregado.	Добавьте новые файлы к уже загруженному PDF-файлу.	Shtoni skedarë të rinj në PDF-në e ngarkuar tashmë.	Adăugați fișiere noi la PDF-ul deja încărcat.	पहले से अपलोड की गई पीडीएफ फाइल में नई फाइलें जोड़ें।	ਪਹਿਲਾਂ ਹੀ ਅੱਪਲੋਡ ਕੀਤੀਆਂ PDF ਵਿੱਚ ਨਵੀਆਂ ਫਾਈਲਾਂ ਸ਼ਾਮਲ ਕਰੋ।	ইতিমধ্যে আপলোড করা PDF-এ নতুন ফাইল যোগ করুন।	Додајте нове датотеке већ отпремљеном ПДФ-у.	Dodajte nove datoteke već prenesenom PDF-u.	Yüklenmiş olan PDF dosyasına yeni dosyalar ekleyin.	فایل‌های جدید را به PDF آپلود شده قبلی اضافه کنید.	نوي فایلونه په هغه PDF کې اضافه کړئ چې دمخه اپلوډ شوي دي.	Magdagdag ng mga bagong file sa na-upload nang PDF.	Dodaj nowe pliki do już przesłanego pliku PDF.	Додайте нові файли до вже завантаженого PDF-файлу.	将新文件添加到已上传的 PDF 文件中。	أضف ملفات جديدة إلى ملف PDF الذي تم تحميله مسبقاً.	پہلے سے اپ لوڈ شدہ پی ڈی ایف میں نئی ​​فائلیں شامل کریں۔
replace_pdf	Sostituisci il PDF già caricato con i nuovi file.	Opzione radio.	Replace the already uploaded PDF with the new files.	Remplacez le PDF déjà téléchargé par les nouveaux fichiers.	Ersetzen Sie die bereits hochgeladene PDF-Datei durch die neuen Dateien.	Reemplaza el PDF ya subido con los nuevos archivos.	Substitua o PDF já carregado pelos novos arquivos.	Замените уже загруженные PDF-файлы новыми файлами.	Zëvendësoni PDF-në e ngarkuar tashmë me skedarët e rinj.	Înlocuiți PDF-ul deja încărcat cu noile fișiere.	पहले से अपलोड की गई पीडीएफ फाइलों को नई फाइलों से बदल दें।	ਪਹਿਲਾਂ ਤੋਂ ਅੱਪਲੋਡ ਕੀਤੀ PDF ਨੂੰ ਨਵੀਆਂ ਫਾਈਲਾਂ ਨਾਲ ਬਦਲੋ।	ইতিমধ্যে আপলোড করা পিডিএফ ফাইলটি নতুন ফাইলগুলো দিয়ে প্রতিস্থাপন করুন।	Замените већ отпремљени PDF новим датотекама.	Zamijenite već preneseni PDF novim datotekama.	Yüklenmiş olan PDF dosyasını yeni dosyalarla değiştirin.	فایل‌های PDF آپلود شده قبلی را با فایل‌های جدید جایگزین کنید.	هغه PDF چې مخکې اپلوډ شوی وي د نویو فایلونو سره بدل کړئ.	Palitan ang na-upload nang PDF ng mga bagong file.	Zastąp już przesłany plik PDF nowymi plikami.	Замініть уже завантажений PDF-файл новими файлами.	将已上传的PDF文件替换为新文件。	استبدل ملف PDF الذي تم تحميله مسبقًا بالملفات الجديدة.	پہلے سے اپ لوڈ شدہ پی ڈی ایف کو نئی فائلوں سے بدل دیں۔
choice_pdf	Carico un PDF già pronto	Scelta 1.	I upload a ready-made PDF	Je télécharge un PDF prêt à l'emploi	Ich lade eine fertige PDF-Datei hoch.	Subo un PDF ya preparado	Eu carrego um PDF pronto.	Я загружаю готовый PDF-файл.	Unë ngarkoj një PDF të gatshëm	Încarc un PDF gata făcut	मैं एक तैयार पीडीएफ फाइल अपलोड करता हूँ।	ਮੈਂ ਇੱਕ ਤਿਆਰ PDF ਅੱਪਲੋਡ ਕਰਦਾ ਹਾਂ।	আমি একটি তৈরি পিডিএফ আপলোড করি	Отпремам готов PDF	Prenosim gotov PDF	Hazır bir PDF dosyası yüklüyorum.	من یک فایل PDF آماده آپلود می‌کنم	زه یو چمتو شوی PDF اپلوډ کوم	Nag-upload ako ng handa nang PDF	Wgrywam gotowy plik PDF	Я завантажую готовий PDF-файл	我上传了一个现成的PDF文件。	أقوم بتحميل ملف PDF جاهز	میں ایک ریڈی میڈ پی ڈی ایف اپ لوڈ کرتا ہوں۔
add_pdf	Aggiungi PDF	Pulsante.	Add PDF	Ajouter un PDF	PDF hinzufügen	Agregar PDF	Adicionar PDF	Добавить PDF	Shto PDF	Adăugați PDF	पीडीएफ जोड़ें	PDF ਸ਼ਾਮਲ ਕਰੋ	পিডিএফ যোগ করুন	Додај ПДФ	Dodaj PDF	PDF ekle	اضافه کردن پی دی اف	PDF اضافه کړئ	Magdagdag ng PDF	Dodaj PDF	Додати PDF-файл	添加 PDF	إضافة ملف PDF	پی ڈی ایف شامل کریں۔
pdf_help	Usa questa scelta se hai già il documento in PDF. Puoi aggiungere anche più PDF: GestOre li unirà in un unico file finale.	Aiuto scelta PDF.	Use this option if you already have the document in PDF format. You can also add multiple PDFs: GestOre will merge them into a single final file.	Utilisez cette option si vous possédez déjà le document au format PDF. Vous pouvez également ajouter plusieurs fichiers PDF : GestOre les fusionnera en un seul fichier final.	Nutzen Sie diese Option, wenn Sie das Dokument bereits im PDF-Format haben. Sie können auch mehrere PDFs hinzufügen: GestOre führt diese zu einer einzigen Datei zusammen.	Utilice esta opción si ya tiene el documento en formato PDF. También puede añadir varios archivos PDF: GestOre los fusionará en un único archivo final.	Use esta opção se você já tiver o documento em formato PDF. Você também pode adicionar vários PDFs: o GestOre irá mesclá-los em um único arquivo final.	Используйте этот вариант, если у вас уже есть документ в формате PDF. Вы также можете добавить несколько PDF-файлов: GestOre объединит их в один итоговый файл.	Përdoreni këtë opsion nëse e keni tashmë dokumentin në formatin PDF. Mund të shtoni edhe disa PDF: GestOre do t'i bashkojë ato në një skedar të vetëm përfundimtar.	Folosește această opțiune dacă ai deja documentul în format PDF. De asemenea, poți adăuga mai multe fișiere PDF: GestOre le va îmbina într-un singur fișier final.	यदि आपके पास पहले से ही दस्तावेज़ PDF फॉर्मेट में है, तो इस विकल्प का उपयोग करें। आप एक से अधिक PDF फ़ाइलें भी जोड़ सकते हैं: GestOre उन्हें एक अंतिम फ़ाइल में मर्ज कर देगा।	ਜੇਕਰ ਤੁਹਾਡੇ ਕੋਲ ਪਹਿਲਾਂ ਹੀ PDF ਫਾਰਮੈਟ ਵਿੱਚ ਦਸਤਾਵੇਜ਼ ਹੈ ਤਾਂ ਇਸ ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰੋ। ਤੁਸੀਂ ਕਈ PDF ਵੀ ਜੋੜ ਸਕਦੇ ਹੋ: GestOre ਉਹਨਾਂ ਨੂੰ ਇੱਕ ਸਿੰਗਲ ਫਾਈਨਲ ਫਾਈਲ ਵਿੱਚ ਮਿਲਾ ਦੇਵੇਗਾ।	আপনার কাছে ডকুমেন্টটি আগে থেকেই পিডিএফ ফরম্যাটে থাকলে এই অপশনটি ব্যবহার করুন। আপনি একাধিক পিডিএফও যোগ করতে পারেন: GestOre সেগুলোকে একত্রিত করে একটি একক চূড়ান্ত ফাইলে পরিণত করবে।	Користите ову опцију ако већ имате документ у PDF формату. Такође можете додати више PDF-ова: GestOre ће их спојити у једну коначну датотеку.	Koristite ovu opciju ako već imate dokument u PDF formatu. Također možete dodati više PDF-ova: GestOre će ih spojiti u jednu konačnu datoteku.	Belgeniz zaten PDF formatındaysa bu seçeneği kullanın. Birden fazla PDF dosyası da ekleyebilirsiniz: GestOre bunları tek bir nihai dosyada birleştirecektir.	اگر از قبل سند را با فرمت PDF دارید، از این گزینه استفاده کنید. همچنین می‌توانید چندین PDF اضافه کنید: GestOre آنها را در یک فایل نهایی ادغام می‌کند.	که تاسو دمخه سند په PDF بڼه کې لرئ نو دا اختیار وکاروئ. تاسو کولی شئ ډیری PDFs هم اضافه کړئ: GestOre به دوی په یوه وروستي فایل کې مدغم کړي.	Gamitin ang opsyong ito kung mayroon ka nang dokumento sa format na PDF. Maaari ka ring magdagdag ng maraming PDF: Pagsasamahin ng GestOre ang mga ito sa isang pangwakas na file.	Użyj tej opcji, jeśli masz już dokument w formacie PDF. Możesz również dodać wiele plików PDF: GestOre połączy je w jeden plik końcowy.	Скористайтеся цією опцією, якщо у вас вже є документ у форматі PDF. Ви також можете додати кілька PDF-файлів: GestOre об’єднає їх в один кінцевий файл.	如果您已有 PDF 格式的文档，请使用此选项。您还可以添加多个 PDF 文件：GestOre 会将它们合并成一个最终文件。	استخدم هذا الخيار إذا كان لديك المستند بصيغة PDF. يمكنك أيضًا إضافة عدة ملفات PDF: سيقوم GestOre بدمجها في ملف واحد نهائي.	اگر آپ کے پاس پہلے سے پی ڈی ایف فارمیٹ میں دستاویز موجود ہے تو اس اختیار کو استعمال کریں۔ آپ متعدد PDFs بھی شامل کر سکتے ہیں: GestOre انہیں ایک ہی فائنل فائل میں ضم کر دے گا۔
choice_photo	Scatto una foto del documento	Scelta 2.	I take a photo of the document	Je prends une photo du document	Ich mache ein Foto von dem Dokument.	Le tomo una foto al documento.	Eu tiro uma foto do documento.	Я фотографирую документ.	Unë bëj një foto të dokumentit	Fac o fotografie a documentului	मैं दस्तावेज़ की एक तस्वीर लेता हूँ	ਮੈਂ ਦਸਤਾਵੇਜ਼ ਦੀ ਫੋਟੋ ਲੈਂਦਾ ਹਾਂ।	আমি নথিটির একটি ছবি তুলি।	Фотографишем документ	Fotografiram dokument	Belgenin fotoğrafını çekiyorum.	از سند عکس میگیرم	زه د سند عکس اخلم	Kumuha ako ng litrato ng dokumento	Robię zdjęcie dokumentu	Я фотографую документ	我拍下了这份文件的照片。	أقوم بتصوير المستند	میں دستاویز کی تصویر لیتا ہوں۔
take_photo	Scatta foto	Pulsante.	Take photos	Prenez des photos	Fotografieren	Toma fotos	Tire fotos	Фотографируйте	Bëni foto	Faceți fotografii	तस्वीरें लें	ਫੋਟੋਆਂ ਖਿੱਚੋ	ছবি তুলুন	Снимајте фотографије	Fotografirati	Fotoğraf çekin	عکس بگیرید	عکسونه واخلئ	Kumuha ng mga litrato	Rób zdjęcia	Зробіть фотографії	拍照	التقط الصور	فوٹو کھینچو
photo_help	Usa questa scelta se hai il documento su carta. Puoi fare una o più foto con il telefono; GestOre le trasformerà in PDF.	Aiuto scelta foto.	Use this option if you have the document on paper. You can take one or more photos with your phone; GestOre will convert them to PDF.	Utilisez cette option si vous possédez le document papier. Vous pouvez prendre une ou plusieurs photos avec votre téléphone ; GestOre les convertira en PDF.	Nutzen Sie diese Option, wenn Sie das Dokument in Papierform haben. Sie können mit Ihrem Smartphone ein oder mehrere Fotos davon aufnehmen; GestOre wandelt diese dann in eine PDF-Datei um.	Utilice esta opción si tiene el documento en papel. Puede tomar una o más fotos con su teléfono; GestOre las convertirá a PDF.	Use esta opção se você tiver o documento em papel. Você pode tirar uma ou mais fotos com seu celular; o GestOre as converterá para PDF.	Воспользуйтесь этой опцией, если документ находится в бумажном виде. Вы можете сделать одну или несколько фотографий на свой телефон; GestOre преобразует их в формат PDF.	Përdoreni këtë opsion nëse e keni dokumentin në letër. Mund të bëni një ose më shumë foto me telefonin tuaj; GestOre do t'i konvertojë ato në PDF.	Folosește această opțiune dacă ai documentul pe hârtie. Poți face una sau mai multe fotografii cu telefonul; GestOre le va converti în PDF.	यदि आपके पास दस्तावेज़ कागज़ पर है तो इस विकल्प का उपयोग करें। आप अपने फ़ोन से एक या अधिक फ़ोटो ले सकते हैं; गेस्टओर उन्हें पीडीएफ में परिवर्तित कर देगा।	ਜੇਕਰ ਤੁਹਾਡੇ ਕੋਲ ਕਾਗਜ਼ 'ਤੇ ਦਸਤਾਵੇਜ਼ ਹੈ ਤਾਂ ਇਸ ਵਿਕਲਪ ਦੀ ਵਰਤੋਂ ਕਰੋ। ਤੁਸੀਂ ਆਪਣੇ ਫ਼ੋਨ ਨਾਲ ਇੱਕ ਜਾਂ ਵੱਧ ਫੋਟੋਆਂ ਲੈ ਸਕਦੇ ਹੋ; GestOre ਉਹਨਾਂ ਨੂੰ PDF ਵਿੱਚ ਬਦਲ ਦੇਵੇਗਾ।	আপনার কাছে ডকুমেন্টটি কাগজে থাকলে এই অপশনটি ব্যবহার করুন। আপনি আপনার ফোন দিয়ে এক বা একাধিক ছবি তুলতে পারেন; GestOre সেগুলোকে PDF-এ রূপান্তর করবে।	Користите ову опцију ако имате документ на папиру. Можете да направите једну или више фотографија телефоном; GestOre ће их конвертовати у PDF.	Koristite ovu opciju ako dokument imate na papiru. Možete snimiti jednu ili više fotografija telefonom; GestOre će ih pretvoriti u PDF.	Belgeyi kağıt üzerinde bulunduruyorsanız bu seçeneği kullanın. Telefonunuzla bir veya daha fazla fotoğraf çekebilirsiniz; GestOre bunları PDF'ye dönüştürecektir.	اگر سند را روی کاغذ دارید، از این گزینه استفاده کنید. می‌توانید با گوشی خود یک یا چند عکس بگیرید؛ GestOre آنها را به PDF تبدیل می‌کند.	که تاسو سند په کاغذ باندې لرئ نو دا اختیار وکاروئ. تاسو کولی شئ د خپل تلیفون سره یو یا څو عکسونه واخلئ؛ ګیسټ اور به یې په PDF بدل کړي.	Gamitin ang opsyong ito kung nasa papel ang dokumento. Maaari kang kumuha ng isa o higit pang mga larawan gamit ang iyong telepono; iko-convert ng GestOre ang mga ito sa PDF.	Użyj tej opcji, jeśli masz dokument w wersji papierowej. Możesz zrobić jedno lub więcej zdjęć telefonem, a GestOre przekonwertuje je do formatu PDF.	Скористайтеся цією опцією, якщо у вас є документ на папері. Ви можете зробити одну або кілька фотографій за допомогою телефону; GestOre конвертує їх у PDF.	如果您有纸质文档，请使用此选项。您可以用手机拍摄一张或多张照片；GestOre 会将它们转换为 PDF 文件。	استخدم هذا الخيار إذا كان لديك المستند مطبوعًا على ورق. يمكنك التقاط صورة واحدة أو أكثر بهاتفك؛ وسيقوم GestOre بتحويلها إلى ملف PDF.	اگر آپ کے پاس کاغذ پر دستاویز ہے تو یہ اختیار استعمال کریں۔ آپ اپنے فون سے ایک یا زیادہ تصاویر لے سکتے ہیں۔ GestOre انہیں پی ڈی ایف میں تبدیل کر دے گا۔
choice_paper	Porto una fotocopia a scuola	Scelta 3.	I bring a photocopy to school	J'apporte une photocopie à l'école	Ich bringe eine Fotokopie mit in die Schule	Llevo una fotocopia a la escuela.	Eu levo uma fotocópia para a escola.	Я приношу в школу ксерокопию.	Unë sjell një fotokopje në shkollë	Aduc o fotocopie la școală	मैं स्कूल में एक फोटोकॉपी लेकर जाता हूँ।	ਮੈਂ ਸਕੂਲ ਇੱਕ ਫੋਟੋਕਾਪੀ ਲੈ ਕੇ ਆਉਂਦਾ ਹਾਂ।	আমি স্কুলে একটি ফটোকপি নিয়ে আসি।	Доносим фотокопију у школу	Nosim fotokopiju u školu	Okula fotokopi getiriyorum.	من یک کپی به مدرسه می‌آورم	زه ښوونځي ته یوه فوټوکاپي راوړم	Magdadala ako ng photocopy sa paaralan	Przynoszę kserokopię do szkoły	Я приношу ксерокопію до школи	我带了一份复印件去学校。	أحضر نسخة مصورة إلى المدرسة	میں اسکول میں فوٹو کاپی لاتا ہوں۔
paper_button	Consegno fotocopia in segreteria	Pulsante.	I deliver a photocopy to the secretary's office	Je remets une photocopie au secrétariat.	Ich bringe eine Fotokopie ins Sekretariat.	Entrego una fotocopia a la oficina de la secretaria.	Entrego uma fotocópia à secretaria.	Я передаю ксерокопию в канцелярию секретаря.	Unë e dorëzoj një fotokopje në zyrën e sekretarit	Predau o fotocopie la secretariat.	मैं सचिव के कार्यालय में एक फोटोकॉपी पहुंचाता हूँ।	ਮੈਂ ਸੈਕਟਰੀ ਦੇ ਦਫ਼ਤਰ ਵਿੱਚ ਇੱਕ ਫੋਟੋਕਾਪੀ ਪਹੁੰਚਾਉਂਦਾ ਹਾਂ।	আমি সচিবের অফিসে একটি ফটোকপি পৌঁছে দিই।	Достављам фотокопију у канцеларију секретарице	Dostavljam fotokopiju u ured tajnice	Sekreterin ofisine bir fotokopi teslim ediyorum.	یک کپی را به دفتر منشی تحویل می‌دهم	زه د منشي دفتر ته یوه کاپي ورکوم	Naghahatid ako ng photocopy sa opisina ng kalihim	Dostarczam kserokopię do sekretariatu	Я доставляю фотокопію до кабінету секретаря	我把复印件送到秘书办公室。	أقوم بتسليم نسخة مصورة إلى مكتب السكرتيرة	میں ایک فوٹو کاپی سیکرٹری کے دفتر میں پہنچاتا ہوں۔
